index,binder_name,page_number,slot_number,card_id,card_name,card_number,set_id,set_name,card_market_value
1-8-3,1,8,3,base1-66,,,,Base,0.87
1-8-4,1,8,4,base1-67,,,,Base,1.56
1-8-5,1,8,5,base1-68,,,,Base,0.46
1-8-6,1,8,6,base1-69,,,,Base,0.43
1-8-7,1,8,7,base1-70,,,,Base,5.61
1-8-8,1,8,8,base1-71,,,,Base,3.16
1-8-9,1,8,9,base1-72,,,,Base,4.83
1-9-1,1,9,1,base1-73,,,,Base,6.39
1-9-2,1,9,2,base1-74,,,,Base,8.33
1-9-3,1,9,3,base1-75,,,,Base,2.59
1-9-4,1,9,4,base1-76,,,,Base,7.05
1-9-5,1,9,5,base1-77,,,,Base,4.22
1-9-6,1,9,6,base1-78,,,,Base,6.89
1-9-7,1,9,7,base1-79,,,,Base,3.05
1-9-8,1,9,8,base1-80,,,,Base,1.42
1-9-9,1,9,9,base1-81,,,,Base,0.79
1-10-1,1,10,1,base1-82,,,,Base,1.51
1-10-2,1,10,2,base1-83,,,,Base,2.36
1-10-3,1,10,3,base1-84,,,,Base,0.65
1-10-4,1,10,4,base1-85,,,,Base,1.62
1-10-5,1,10,5,base1-86,,,,Base,2.81
1-10-6,1,10,6,base1-87,,,,Base,0.41
1-10-7,1,10,7,base1-88,,,,Base,1.44
1-10-8,1,10,8,base1-89,,,,Base,2.33
1-10-9,1,10,9,base1-90,,,,Base,0.32
1-11-1,1,11,1,base1-91,,,,Base,0.36
1-11-2,1,11,2,base1-92,,,,Base,0.52
1-11-3,1,11,3,base1-93,,,,Base,0.29
1-11-4,1,11,4,base1-94,,,,Base,0.26
1-11-5,1,11,5,base1-95,,,,Base,0.26
1-11-6,1,11,6,base1-96,,,,Base,5.62
1-11-7,1,11,7,base1-97,,,,Base,0.25
1-11-8,1,11,8,base1-98,,,,Base,0.31
1-11-9,1,11,9,base1-99,,,,Base,0.28
1-12-1,1,12,1,base1-100,,,,Base,0.33
1-12-2,1,12,2,base1-101,,,,Base,0.36
1-12-3,1,12,3,base1-102,,,,Base,0.28
1-12-4,1,12,4,base1-4,,,,Base,457.11
1-12-5,1,12,5,base1-2,,,,Base,155.97
1-12-6,1,12,6,base1-15,,,,Base,113.99
1-12-7,1,12,7,base1-10,,,,Base,35.77
1-12-8,1,12,8,base1-16,,,,Base,38.51
1-12-9,1,12,9,base1-14,,,,Base,44.92
1-13-1,1,13,1,base1-1,,,,Base,56.53
1-13-2,1,13,2,base1-3,,,,Base,30.64
1-13-3,1,13,3,base1-12,,,,Base,23.3
1-13-4,1,13,4,base1-8,,,,Base,0.0
1-13-5,1,13,5,base1-4,,,,Base,457.11
1-13-6,1,13,6,base1-10,,,,Base,35.77
1-13-7,1,13,7,base1-58,,,,Base,3.07
1-13-8,1,13,8,base1-44,,,,Base,2.04
1-13-9,1,13,9,base1-46,,,,Base,1.59
1-14-1,1,14,1,base1-63,,,,Base,2.9
1-14-2,1,14,2,base1-57,,,,Base,1.21
1-14-3,1,14,3,base1-61,,,,Base,0.6
1-14-4,1,14,4,base1-5,,,,Base,25.87
1-14-5,1,14,5,base1-31,,,,Base,0.8
1-14-6,1,14,6,base1-35,,,,Base,2.34
1-14-7,1,14,7,base1-43,,,,Base,0.61
1-14-8,1,14,8,base1-52,,,,Base,0.35
1-14-9,1,14,9,base1-53,,,,Base,0.55
1-15-1,1,15,1,base1-51,,,,Base,0.5
1-15-2,1,15,2,base1-50,,,,Base,0.71
1-15-3,1,15,3,base1-68,,,,Base,0.46
1-15-4,1,15,4,base1-60,,,,Base,0.35
1-15-5,1,15,5,base1-49,,,,Base,0.53
1-15-6,1,15,6,base1-47,,,,Base,0.55
1-15-7,1,15,7,base1-69,,,,Base,0.43
1-15-8,1,15,8,base1-45,,,,Base,1.09
1-15-9,1,15,9,base1-55,,,,Base,0.48
1-16-1,1,16,1,base1-59,,,,Base,0.49
1-16-2,1,16,2,base1-38,,,,Base,1.65
1-16-3,1,16,3,base1-30,,,,Base,2.28
1-16-4,1,16,4,base1-42,,,,Base,2.61
1-16-5,1,16,5,base1-24,,,,Base,1.65
1-16-6,1,16,6,base1-32,,,,Base,1.5
1-16-7,1,16,7,base1-34,,,,Base,0.68
1-16-8,1,16,8,base1-33,,,,Base,1.07
1-16-9,1,16,9,base1-54,,,,Base,0.78
1-17-1,1,17,1,base1-18,,,,Base,15.28
1-17-2,1,17,2,base1-26,,,,Base,2.16
1-17-3,1,17,3,base1-28,,,,Base,1.19
1-17-4,1,17,4,base1-23,,,,Base,3.33
1-17-5,1,17,5,base1-21,,,,Base,6.26
1-17-6,1,17,6,base1-20,,,,Base,7.25
1-17-7,1,17,7,base1-64,,,,Base,0.51
1-17-8,1,17,8,base1-65,,,,Base,0.35
1-17-9,1,17,9,base1-96,,,,Base,5.62
1-18-1,1,18,1,base1-88,,,,Base,1.44
1-18-2,1,18,2,base1-91,,,,Base,0.36
1-18-3,1,18,3,base1-92,,,,Base,0.52
1-18-4,1,18,4,base1-87,,,,Base,0.41
1-18-5,1,18,5,base1-95,,,,Base,0.26
1-18-6,1,18,6,base1-94,,,,Base,0.26
1-18-7,1,18,7,base1-90,,,,Base,0.32
1-18-8,1,18,8,base1-85,,,,Base,1.62
1-18-9,1,18,9,base1-81,,,,Base,0.79
1-19-1,1,19,1,base1-98,,,,Base,0.31
1-19-2,1,19,2,base1-100,,,,Base,0.33
1-19-3,1,19,3,base1-102,,,,Base,0.28
1-19-4,1,19,4,base1-99,,,,Base,0.28
1-19-5,1,19,5,base1-101,,,,Base,0.36
1-19-6,1,19,6,base1-97,,,,Base,0.25
1-19-7,1,19,7,base1-96,,,,Base,5.62
1-19-8,1,19,8,base1-4,,,,Base,457.11
1-19-9,1,19,9,base1-2,,,,Base,155.97
1-20-1,1,20,1,base1-15,,,,Base,113.99
1-20-2,1,20,2,base1-10,,,,Base,35.77
1-20-3,1,20,3,base1-16,,,,Base,38.51
1-20-4,1,20,4,base1-6,,,,Base,32.99
1-20-5,1,20,5,base1-13,,,,Base,21.86
1-20-6,1,20,6,base1-11,,,,Base,27.78
1-20-7,1,20,7,base1-7,,,,Base,18.56
1-20-8,1,20,8,base1-9,,,,Base,20.8
1-20-9,1,20,9,base1-3,,,,Base,30.64
2-1-1,2,1,1,base4-1,,,,Base Set 2,36.39
2-1-2,2,1,2,base4-2,,,,Base Set 2,102.11
2-1-3,2,1,3,base4-3,,,,Base Set 2,14.35
2-1-4,2,1,4,base4-4,,,,Base Set 2,297.08
2-1-5,2,1,5,base4-5,,,,Base Set 2,14.19
2-1-6,2,1,6,base4-6,,,,Base Set 2,10.74
2-1-7,2,1,7,base4-7,,,,Base Set 2,26.74
2-1-8,2,1,8,base4-8,,,,Base Set 2,21.05
2-1-9,2,1,9,base4-9,,,,Base Set 2,12.07
2-2-1,2,2,1,base4-10,,,,Base Set 2,39.96
2-2-2,2,2,2,base4-11,,,,Base Set 2,23.83
2-2-3,2,2,3,base4-12,,,,Base Set 2,22.99
2-2-4,2,2,4,base4-13,,,,Base Set 2,21.08
2-2-5,2,2,5,base4-14,,,,Base Set 2,27.11
2-2-6,2,2,6,base4-15,,,,Base Set 2,13.64
2-2-7,2,2,7,base4-16,,,,Base Set 2,33.01
2-2-8,2,2,8,base4-17,,,,Base Set 2,24.35
2-2-9,2,2,9,base4-18,,,,Base Set 2,73.03
2-3-1,2,3,1,base4-19,,,,Base Set 2,11.14
2-3-2,2,3,2,base4-20,,,,Base Set 2,24.0
2-3-3,2,3,3,base4-21,,,,Base Set 2,1.91
2-3-4,2,3,4,base4-22,,,,Base Set 2,8.58
2-3-5,2,3,5,base4-23,,,,Base Set 2,3.23
2-3-6,2,3,6,base4-24,,,,Base Set 2,3.22
2-3-7,2,3,7,base4-25,,,,Base Set 2,3.89
2-3-8,2,3,8,base4-26,,,,Base Set 2,3.11
2-3-9,2,3,9,base4-27,,,,Base Set 2,6.04
2-4-1,2,4,1,base4-28,,,,Base Set 2,4.08
2-4-2,2,4,2,base4-29,,,,Base Set 2,3.3
2-4-3,2,4,3,base4-30,,,,Base Set 2,9.51
2-4-4,2,4,4,base4-31,,,,Base Set 2,3.29
2-4-5,2,4,5,base4-32,,,,Base Set 2,2.82
2-4-6,2,4,6,base4-33,,,,Base Set 2,2.09
2-4-7,2,4,7,base4-34,,,,Base Set 2,1.7
2-4-8,2,4,8,base4-35,,,,Base Set 2,1.7
2-4-9,2,4,9,base4-36,,,,Base Set 2,1.25
2-5-1,2,5,1,base4-37,,,,Base Set 2,1.73
2-5-2,2,5,2,base4-38,,,,Base Set 2,1.18
2-5-3,2,5,3,base4-39,,,,Base Set 2,1.18
2-5-4,2,5,4,base4-40,,,,Base Set 2,0.52
2-5-5,2,5,5,base4-41,,,,Base Set 2,1.23
2-5-6,2,5,6,base4-42,,,,Base Set 2,1.25
2-5-7,2,5,7,base4-43,,,,Base Set 2,0.85
2-5-8,2,5,8,base4-44,,,,Base Set 2,3.63
2-5-9,2,5,9,base4-45,,,,Base Set 2,0.65
2-6-1,2,6,1,base4-46,,,,Base Set 2,1.26
2-6-2,2,6,2,base4-47,,,,Base Set 2,0.68
2-6-3,2,6,3,base4-48,,,,Base Set 2,1.27
2-6-4,2,6,4,base4-49,,,,Base Set 2,0.59
2-6-5,2,6,5,base4-50,,,,Base Set 2,0.91
2-6-6,2,6,6,base4-51,,,,Base Set 2,1.08
2-6-7,2,6,7,base4-52,,,,Base Set 2,1.85
2-6-8,2,6,8,base4-53,,,,Base Set 2,0.68
2-6-9,2,6,9,base4-54,,,,Base Set 2,1.6
2-7-1,2,7,1,base4-55,,,,Base Set 2,1.03
2-7-2,2,7,2,base4-56,,,,Base Set 2,1.64
2-7-3,2,7,3,base4-57,,,,Base Set 2,0.9
2-7-4,2,7,4,base4-58,,,,Base Set 2,0.98
2-7-5,2,7,5,base4-59,,,,Base Set 2,1.9
2-7-6,2,7,6,base4-60,,,,Base Set 2,0.57
2-7-7,2,7,7,base4-61,,,,Base Set 2,0.61
2-7-8,2,7,8,base4-62,,,,Base Set 2,2.99
2-7-9,2,7,9,base4-63,,,,Base Set 2,1.68
2-8-1,2,8,1,base4-64,,,,Base Set 2,1.09
2-8-2,2,8,2,base4-65,,,,Base Set 2,0.43
2-8-3,2,8,3,base4-66,,,,Base Set 2,0.46
2-8-4,2,8,4,base4-67,,,,Base Set 2,2.29
2-8-5,2,8,5,base4-68,,,,Base Set 2,0.42
2-8-6,2,8,6,base4-69,,,,Base Set 2,1.12
2-8-7,2,8,7,base4-70,,,,Base Set 2,0.87
2-8-8,2,8,8,base4-71,,,,Base Set 2,0.41
2-8-9,2,8,9,base4-72,,,,Base Set 2,0.4
2-9-1,2,9,1,base4-73,,,,Base Set 2,0.48
2-9-2,2,9,2,base4-74,,,,Base Set 2,0.51
2-9-3,2,9,3,base4-75,,,,Base Set 2,0.47
2-9-4,2,9,4,base4-76,,,,Base Set 2,0.37
2-9-5,2,9,5,base4-77,,,,Base Set 2,0.71
2-9-6,2,9,6,base4-78,,,,Base Set 2,0.43
2-9-7,2,9,7,base4-79,,,,Base Set 2,0.43
2-9-8,2,9,8,base4-80,,,,Base Set 2,0.56
2-9-9,2,9,9,base4-81,,,,Base Set 2,0.44
2-10-1,2,10,1,base4-82,,,,Base Set 2,0.49
2-10-2,2,10,2,base4-83,,,,Base Set 2,0.56
2-10-3,2,10,3,base4-84,,,,Base Set 2,0.87
2-10-4,2,10,4,base4-85,,,,Base Set 2,0.39
2-10-5,2,10,5,base4-86,,,,Base Set 2,0.56
2-10-6,2,10,6,base4-87,,,,Base Set 2,2.32
2-10-7,2,10,7,base4-88,,,,Base Set 2,0.36
2-10-8,2,10,8,base4-89,,,,Base Set 2,0.49
2-10-9,2,10,9,base4-90,,,,Base Set 2,0.44
2-11-1,2,11,1,base4-91,,,,Base Set 2,0.36
2-11-2,2,11,2,base4-92,,,,Base Set 2,0.49
2-11-3,2,11,3,base4-93,,,,Base Set 2,1.03
2-11-4,2,11,4,base4-94,,,,Base Set 2,0.5
2-11-5,2,11,5,base4-95,,,,Base Set 2,0.29
2-11-6,2,11,6,base4-96,,,,Base Set 2,0.37
2-11-7,2,11,7,base4-97,,,,Base Set 2,0.56
2-11-8,2,11,8,base4-98,,,,Base Set 2,0.53
2-11-9,2,11,9,base4-99,,,,Base Set 2,0.81
2-12-1,2,12,1,base4-100,,,,Base Set 2,0.38
2-12-2,2,12,2,base4-101,,,,Base Set 2,2.72
2-12-3,2,12,3,base4-102,,,,Base Set 2,2.11
2-12-4,2,12,4,base4-103,,,,Base Set 2,7.48
2-12-5,2,12,5,base4-104,,,,Base Set 2,2.78
2-12-6,2,12,6,base4-105,,,,Base Set 2,4.5
2-12-7,2,12,7,base4-106,,,,Base Set 2,3.2
2-12-8,2,12,8,base4-107,,,,Base Set 2,4.1
2-12-9,2,12,9,base4-108,,,,Base Set 2,2.56
2-13-1,2,13,1,base4-109,,,,Base Set 2,0.32
2-13-2,2,13,2,base4-110,,,,Base Set 2,0.34
2-13-3,2,13,3,base4-111,,,,Base Set 2,0.37
2-13-4,2,13,4,base4-112,,,,Base Set 2,0.74
2-13-5,2,13,5,base4-113,,,,Base Set 2,0.36
2-13-6,2,13,6,base4-114,,,,Base Set 2,0.89
2-13-7,2,13,7,base4-115,,,,Base Set 2,0.46
2-13-8,2,13,8,base4-116,,,,Base Set 2,1.27
2-13-9,2,13,9,base4-117,,,,Base Set 2,0.32
2-14-1,2,14,1,base4-118,,,,Base Set 2,0.33
2-14-2,2,14,2,base4-119,,,,Base Set 2,0.3
2-14-3,2,14,3,base4-120,,,,Base Set 2,0.36
2-14-4,2,14,4,base4-121,,,,Base Set 2,0.28
2-14-5,2,14,5,base4-122,,,,Base Set 2,0.2
2-14-6,2,14,6,base4-123,,,,Base Set 2,0.32
2-14-7,2,14,7,base4-124,,,,Base Set 2,2.29
2-14-8,2,14,8,base4-125,,,,Base Set 2,0.3
2-14-9,2,14,9,base4-126,,,,Base Set 2,0.75
2-15-1,2,15,1,base4-127,,,,Base Set 2,0.29
2-15-2,2,15,2,base4-128,,,,Base Set 2,0.37
2-15-3,2,15,3,base4-129,,,,Base Set 2,0.3
2-15-4,2,15,4,base4-130,,,,Base Set 2,0.23
2-15-5,2,15,5,base4-4,,,,Base Set 2,297.08
2-15-6,2,15,6,base4-2,,,,Base Set 2,102.11
2-15-7,2,15,7,base4-18,,,,Base Set 2,73.03
2-15-8,2,15,8,base4-10,,,,Base Set 2,39.96
2-15-9,2,15,9,base4-20,,,,Base Set 2,24.0
2-16-1,2,16,1,base4-16,,,,Base Set 2,33.01
2-16-2,2,16,2,base4-17,,,,Base Set 2,24.35
2-16-3,2,16,3,base4-19,,,,Base Set 2,11.14
2-16-4,2,16,4,base4-14,,,,Base Set 2,27.11
2-16-5,2,16,5,base4-12,,,,Base Set 2,22.99
2-16-6,2,16,6,base4-11,,,,Base Set 2,23.83
2-16-7,2,16,7,base4-1,,,,Base Set 2,36.39
2-16-8,2,16,8,base4-7,,,,Base Set 2,26.74
2-16-9,2,16,9,base4-3,,,,Base Set 2,14.35
2-17-1,2,17,1,base4-5,,,,Base Set 2,14.19
2-17-2,2,17,2,base4-87,,,,Base Set 2,2.32
2-17-3,2,17,3,base4-67,,,,Base Set 2,2.29
2-17-4,2,17,4,base4-69,,,,Base Set 2,1.12
2-17-5,2,17,5,base4-93,,,,Base Set 2,1.03
2-17-6,2,17,6,base4-86,,,,Base Set 2,0.56
2-17-7,2,17,7,base4-89,,,,Base Set 2,0.49
2-17-8,2,17,8,base4-6,,,,Base Set 2,10.74
2-17-9,2,17,9,base4-50,,,,Base Set 2,0.91
2-18-1,2,18,1,base4-65,,,,Base Set 2,0.43
2-18-2,2,18,2,base4-78,,,,Base Set 2,0.43
2-18-3,2,18,3,base4-79,,,,Base Set 2,0.43
2-18-4,2,18,4,base4-75,,,,Base Set 2,0.47
2-18-5,2,18,5,base4-99,,,,Base Set 2,0.81
2-18-6,2,18,6,base4-60,,,,Base Set 2,0.57
2-18-7,2,18,7,base4-100,,,,Base Set 2,0.38
2-18-8,2,18,8,base4-68,,,,Base Set 2,0.42
2-18-9,2,18,9,base4-88,,,,Base Set 2,0.36
2-19-1,2,19,1,base4-57,,,,Base Set 2,0.9
2-19-2,2,19,2,base4-44,,,,Base Set 2,3.63
2-19-3,2,19,3,base4-63,,,,Base Set 2,1.68
2-19-4,2,19,4,base4-35,,,,Base Set 2,1.7
2-19-5,2,19,5,base4-46,,,,Base Set 2,1.26
2-19-6,2,19,6,base4-49,,,,Base Set 2,0.59
2-19-7,2,19,7,base4-47,,,,Base Set 2,0.68
2-19-8,2,19,8,base4-81,,,,Base Set 2,0.44
2-19-9,2,19,9,base4-22,,,,Base Set 2,8.58
2-20-1,2,20,1,base4-38,,,,Base Set 2,1.18
2-20-2,2,20,2,base4-42,,,,Base Set 2,1.25
2-20-3,2,20,3,base4-33,,,,Base Set 2,2.09
2-20-4,2,20,4,base4-25,,,,Base Set 2,3.89
2-20-5,2,20,5,base4-24,,,,Base Set 2,3.22
2-20-6,2,20,6,base4-124,,,,Base Set 2,2.29
2-20-7,2,20,7,base4-116,,,,Base Set 2,1.27
2-20-8,2,20,8,base4-118,,,,Base Set 2,0.33
2-20-9,2,20,9,base4-119,,,,Base Set 2,0.3
